"ID","FSU_Serial_No","Stratum","Sub_Stratum_No","Hamlet_Group_Sub_Block_No","Second_Stage_Stratum_No","sex","Age","age_group5","age_group10","Multiplier_comb","Current_Weekly_Activity_Status","Current_Weekly_Activity_NIC_2008","urban","employment_status","industry","weekly_earnings","analysis_group"
"FSU44622S04SS01HG1SSS3HH02P01",44622,4,1,1,3,"Male",62,"60-64","60-69",22,31,41001,1,"Employed","Construction",1000,"Male;60-64;Construction;Urban"
"FSU44625S06SS01HG1SSS2HH01P01",44625,6,1,1,2,"Male",60,"60-64","60-69",218,51,41001,1,"Employed","Construction",1680,"Male;60-64;Construction;Urban"
"FSU49991S10SS02HG1SSS1HH01P01",49991,10,2,1,1,"Male",60,"60-64","60-69",555,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49995S13SS01HG1SSS3HH01P01",49995,13,1,1,3,"Male",60,"60-64","60-69",515.625,51,41001,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU49976S13SS10HG1SSS3HH01P01",49976,13,10,1,3,"Male",60,"60-64","60-69",1641.5,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49941S12SS01HG1SSS3HH01P01",49941,12,1,1,3,"Male",60,"60-64","60-69",385.25,51,41001,1,"Employed","Construction",1450,"Male;60-64;Construction;Urban"
"FSU49928S13SS08HG1SSS2HH03P01",49928,13,8,1,2,"Male",60,"60-64","60-69",110.25,51,41001,1,"Employed","Construction",1400,"Male;60-64;Construction;Urban"
"FSU49968S12SS01HG1SSS3HH01P01",49968,12,1,1,3,"Male",61,"60-64","60-69",167.5,51,41001,1,"Employed","Construction",1750,"Male;60-64;Construction;Urban"
"FSU49959S13SS01HG1SSS3HH02P01",49959,13,1,1,3,"Male",62,"60-64","60-69",288.75,51,41001,1,"Employed","Construction",530,"Male;60-64;Construction;Urban"
"FSU49956S13SS06HG1SSS3HH01P02",49956,13,6,1,3,"Male",60,"60-64","60-69",163.125,51,41001,1,"Employed","Construction",1750,"Male;60-64;Construction;Urban"
"FSU49742S02SS01HG1SSS1HH02P01",49742,2,1,1,1,"Male",60,"60-64","60-69",84.75,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49720S01SS01HG1SSS2HH04P01",49720,1,1,1,2,"Male",60,"60-64","60-69",154,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU49760S03SS06HG2SSS2HH01P01",49760,3,6,2,2,"Male",62,"60-64","60-69",909.5,51,41001,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU44797S06SS05HG1SSS3HH02P01",44797,6,5,1,3,"Male",61,"60-64","60-69",23.625,51,41001,1,"Employed","Construction",1400,"Male;60-64;Construction;Urban"
"FSU44794S06SS06HG1SSS2HH03P01",44794,6,6,1,2,"Male",60,"60-64","60-69",23.75,11,42101,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44792S06SS08HG2SSS1HH01P01",44792,6,8,2,1,"Male",60,"60-64","60-69",294,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44777S06SS15HG1SSS2HH04P01",44777,6,15,1,2,"Male",60,"60-64","60-69",133.75,11,42101,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44476S06SS08HG1SSS1HH01P01",44476,6,8,1,1,"Male",60,"60-64","60-69",49.875,11,42101,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU41628S52SS02HG1SSS2HH02P01",41628,52,2,1,2,"Male",60,"60-64","60-69",3021.04,51,41001,1,"Employed","Construction",2100,"Male;60-64;Construction;Urban"
"FSU41568S01SS01HG1SSS2HH02P01",41568,1,1,1,2,"Male",60,"60-64","60-69",655.75,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU41553S08SS01HG1SSS2HH03P01",41553,8,1,1,2,"Male",60,"60-64","60-69",2471.125,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU47556S03SS01HG1SSS1HH01P01",47556,3,1,1,1,"Male",60,"60-64","60-69",31.5,31,42101,1,"Employed","Construction",10000,"Male;60-64;Construction;Urban"
"FSU47532S12SS01HG1SSS2HH03P01",47532,12,1,1,2,"Male",60,"60-64","60-69",910.94,51,41001,1,"Employed","Construction",680,"Male;60-64;Construction;Urban"
"FSU47505S03SS01HG1SSS2HH02P01",47505,3,1,1,2,"Male",60,"60-64","60-69",171,51,42206,1,"Employed","Construction",900,"Male;60-64;Construction;Urban"
"FSU47346S21SS01HG1SSS3HH01P01",47346,21,1,1,3,"Male",63,"60-64","60-69",102.75,51,41001,1,"Employed","Construction",840,"Male;60-64;Construction;Urban"
"FSU47316S10SS01HG1SSS2HH02P01",47316,10,1,1,2,"Male",60,"60-64","60-69",2902.375,51,41001,1,"Employed","Construction",1400,"Male;60-64;Construction;Urban"
"FSU47301S39SS02HG1SSS3HH02P01",47301,39,2,1,3,"Male",60,"60-64","60-69",1354.375,51,41001,1,"Employed","Construction",1200,"Male;60-64;Construction;Urban"
"FSU44296S01SS03HG1SSS2HH01P01",44296,1,3,1,2,"Male",63,"60-64","60-69",264,51,41001,1,"Employed","Construction",1100,"Male;60-64;Construction;Urban"
"FSU44229S01SS04HG1SSS2HH03P01",44229,1,4,1,2,"Male",62,"60-64","60-69",929.5,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU44229S01SS04HG1SSS2HH04P01",44229,1,4,1,2,"Male",60,"60-64","60-69",929.5,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
