"group","n","estimate","bootstrap_variance","SRS_variance","bootstrap_SE","lower","upper"
"Male;Under 60;Other;Urban",29284,1832.76350454088,1000.08048866631,883.168244440094,31.6240492136334,1770.78036808216,1894.7466409996
"Male;Under 60;Farming, forestry, or fishing;Rural",28072,282.010461113798,23.652099670771,8.73005593876965,4.86334243815619,272.478309935012,291.542612292584
"Male;Under 60;Other;Rural",24041,1018.08617354594,384.740173696675,231.852789083276,19.6147947656017,979.641175805361,1056.53117128652
"Female;Under 60;Farming, forestry, or fishing;Rural",17272,194.861199339099,23.8608776863029,4.58431601489887,4.88475973680414,185.287070254963,204.435328423235
"Male;Under 60;Construction;Rural",10290,957.870788085999,87.1693645166088,60.2452505675415,9.33645352993356,939.571339167329,976.170237004669
"Male;Under 60;Manufacturing;Urban",7637,1546.24073333363,2928.52304917886,985.098863775536,54.1158299315354,1440.17370666782,1652.30775999944
"Female;Under 60;Other;Urban",6779,1870.33657720779,3851.45641862338,1095.03329791201,62.0601032759645,1748.6987747869,1991.97437962868
"Male;Under 60;Manufacturing;Rural",6396,781.39644916867,1215.76639427126,196.616785551632,34.8678418355834,713.055479170926,849.737419166413
"Male;Under 60;Construction;Urban",5133,1189.76170705815,1040.99345173452,311.533917537021,32.2644301318731,1126.52342399968,1252.99999011662
"Female;Under 60;Other;Rural",4739,840.896180213928,1762.12229444581,803.738367267072,41.9776404106497,758.620005009055,923.172355418801
"Male;Under 60;Farming, forestry, or fishing;Urban",2995,412.91936268361,2282.8035494368,342.624994829612,47.7786934672433,319.273123487813,506.565601879407
"Female;Under 60;Manufacturing;Urban",2666,331.965362252384,839.910690061596,253.443616470073,28.9812127086082,275.162185343512,388.768539161256
"Female;Under 60;Manufacturing;Rural",2658,171.359289581763,121.581777981209,70.5082213303686,11.0264127431005,149.747520605286,192.97105855824
"Male;60-64;Farming, forestry, or fishing;Rural",2291,196.800294720215,285.189349230272,38.0365138241107,16.8875501251742,163.700696474873,229.899892965556
"Female;Under 60;Construction;Rural",1725,639.81450163986,182.806620730011,98.3382000669594,13.5205998657608,613.314125902969,666.314877376751
"Male;65-69;Farming, forestry, or fishing",1638,178.315662532054,495.450670778186,50.5125326626772,22.2587212296256,134.688568921988,221.94275614212
"Female;Under 60;Farming, forestry, or fishing;Urban",1452,242.858720326962,230.023107919924,100.471638462183,15.1665127145275,213.132355406488,272.585085247436
"Female;60-64;Farming, forestry, or fishing",915,169.789773352161,273.772109862918,67.1217034183405,16.5460602520031,137.359495258235,202.220051446087
"Male;60-64;Other;Urban",801,628.617909344016,11180.3497126885,4321.92665410434,105.737172804499,421.373050647198,835.862768040834
"Male;65-69;Other",768,297.847949555245,4469.60617127376,2004.36176101881,66.8551132769496,166.811927532424,428.883971578066
"Male;70-74;Farming, forestry, or fishing",768,79.4594191478572,334.089423965018,54.3845435182167,18.2781132495949,43.6343171786511,115.284521117063
"Male;60-64;Other;Rural",666,303.731136567758,2830.51231885935,3961.26646492052,53.2025593262143,199.454120288378,408.008152847138
"Male;70-74;Other",530,433.513826449159,19532.3233729024,1130.87439461063,139.758088756617,159.58797248619,707.439680412128
"Female;65-69;Farming, forestry, or fishing",460,186.76479744584,987.308258471932,136.711713750613,31.4214617494465,125.178732416925,248.350862474755
"Female;Under 60;Construction;Urban",457,976.658713889253,4531.77349739203,3104.00124836268,67.3184484178894,844.71455499019,1108.60287278832
"Female;60-64;Other",350,566.937809766774,43836.7210670282,5293.61905247646,209.37220700711,156.568284032838,977.30733550071
"Male;60-64;Farming, forestry, or fishing;Urban",284,185.470650219073,1015.45750384235,541.733095682541,31.8662439556712,123.012812065957,247.928488372189
"Male;60-64;Construction;Rural",275,839.13465125069,2287.41732697137,1407.65223304579,47.8269518887768,745.393825548687,932.875476952693
"Male;75-79;Farming, forestry, or fishing",269,83.3972916483544,1266.29735667895,257.669629904952,35.5850721044506,13.6505503236312,153.144032973078
"Female;70-74",258,228.131911572405,2238.1886251965,523.700276694592,47.3094982555987,135.405294991431,320.858528153379
"Female;65-69;Other",255,293.817863864514,3685.19252445585,1832.56394021682,60.7057865813124,174.834522165142,412.801205563886
"Male;80+",248,135.636879764731,4074.28073984961,1493.22550516447,63.8300927451121,10.5298979843113,260.743861545151
"Male;65-69;Manufacturing",239,316.832240638296,3457.46652541092,1089.30218985232,58.8002255557827,201.583798548962,432.08068272763
"Male;60-64;Manufacturing;Rural",234,372.743135523594,10585.1653093433,1320.33961794455,102.884232559432,171.090039707107,574.396231340081
"Male;60-64;Manufacturing;Urban",223,853.239066549795,35890.4417845136,27175.9938343298,189.447728369895,481.9215189448,1224.55661415479
"Female;60-64;Manufacturing or Construction",203,244.106237934386,1466.07930806965,684.411302058644,38.2894150917672,169.058984354522,319.15349151425
"Male;65-69;Construction",180,940.569182406707,3185.17779139427,2004.89031847024,56.4373793809942,829.951918819958,1051.18644599346
"Male;75-79;Other",179,102.016159708036,867.547972971296,705.049695456909,29.4541673277534,44.2859917456393,159.746327670433
"Male;60-64;Construction;Urban",124,862.51690910093,9613.53377539476,13060.7784039957,98.0486296456751,670.341594995407,1054.69222320645
